EventID,timestamp,Case,Activity,lifecycle,O,P,EventOrigin
Event50,Thu Jan 01 1970 01:00:51 GMT+0100 (Central European Standard Time),0,a,,O-2,,Case
Event51,Thu Jan 01 1970 01:00:52 GMT+0100 (Central European Standard Time),0,a,,O-3,,Case
Event52,Thu Jan 01 1970 01:00:53 GMT+0100 (Central European Standard Time),0,a,,O-4,,Case
Event53,Thu Jan 01 1970 01:00:54 GMT+0100 (Central European Standard Time),0,b,,,P-2,Case
Event54,Thu Jan 01 1970 01:00:55 GMT+0100 (Central European Standard Time),0,Oc,,O-3,,O
Event55,Thu Jan 01 1970 01:00:56 GMT+0100 (Central European Standard Time),0,Oa,,O-4,,O
Event56,Thu Jan 01 1970 01:00:57 GMT+0100 (Central European Standard Time),0,Oa,,O-4,,O
Event57,Thu Jan 01 1970 01:00:58 GMT+0100 (Central European Standard Time),0,Ob,,O-3,,O
Event58,Thu Jan 01 1970 01:00:59 GMT+0100 (Central European Standard Time),0,Oa,,O-2,,O
Event59,Thu Jan 01 1970 01:01:00 GMT+0100 (Central European Standard Time),0,b,,,P-3,Case
Event60,Thu Jan 01 1970 01:01:01 GMT+0100 (Central European Standard Time),0,Ob,,O-4,,O
Event61,Thu Jan 01 1970 01:01:02 GMT+0100 (Central European Standard Time),0,Ob,,O-3,,O
Event62,Thu Jan 01 1970 01:01:03 GMT+0100 (Central European Standard Time),0,Oa,,O-4,,O
Event63,Thu Jan 01 1970 01:01:04 GMT+0100 (Central European Standard Time),0,Oc,,O-3,,O
Event64,Thu Jan 01 1970 01:01:05 GMT+0100 (Central European Standard Time),0,Oa,,O-4,,O
Event65,Thu Jan 01 1970 01:01:06 GMT+0100 (Central European Standard Time),0,c,,,,Case
Event66,Thu Jan 01 1970 01:01:07 GMT+0100 (Central European Standard Time),0,Od,,O-4,,O
Event67,Thu Jan 01 1970 01:01:08 GMT+0100 (Central European Standard Time),0,Oa,,O-2,,O
Event68,Thu Jan 01 1970 01:01:09 GMT+0100 (Central European Standard Time),0,Pa,,,P-2,P
Event69,Thu Jan 01 1970 01:01:10 GMT+0100 (Central European Standard Time),0,Ob,,O-4,,O
Event70,Thu Jan 01 1970 01:01:11 GMT+0100 (Central European Standard Time),0,Oa,,O-4,,O
Event71,Thu Jan 01 1970 01:01:12 GMT+0100 (Central European Standard Time),0,Od,,O-3,,O
Event72,Thu Jan 01 1970 01:01:13 GMT+0100 (Central European Standard Time),0,Oa,,O-4,,O
Event73,Thu Jan 01 1970 01:01:14 GMT+0100 (Central European Standard Time),0,Oa,,O-4,,O
Event74,Thu Jan 01 1970 01:01:15 GMT+0100 (Central European Standard Time),0,Od,,O-3,,O
Event75,Thu Jan 01 1970 01:01:16 GMT+0100 (Central European Standard Time),0,Ob,,O-4,,O
Event76,Thu Jan 01 1970 01:01:17 GMT+0100 (Central European Standard Time),0,Ob,,O-2,,O
Event77,Thu Jan 01 1970 01:01:18 GMT+0100 (Central European Standard Time),0,Ob,,O-2,,O
Event78,Thu Jan 01 1970 01:01:19 GMT+0100 (Central European Standard Time),0,d,,,,Case
Event79,Thu Jan 01 1970 01:01:20 GMT+0100 (Central European Standard Time),0,Od,,O-3,,O
Event80,Thu Jan 01 1970 01:01:21 GMT+0100 (Central European Standard Time),0,Pc,,,P-2,P
Event81,Thu Jan 01 1970 01:01:22 GMT+0100 (Central European Standard Time),0,Pc,,,P-3,P
Event82,Thu Jan 01 1970 01:01:23 GMT+0100 (Central European Standard Time),0,Pb,,,P-3,P
Event83,Thu Jan 01 1970 01:01:24 GMT+0100 (Central European Standard Time),0,Od,,O-2,,O
Event84,Thu Jan 01 1970 01:01:25 GMT+0100 (Central European Standard Time),0,Od,,O-2,,O
Event85,Thu Jan 01 1970 01:01:26 GMT+0100 (Central European Standard Time),0,Pc,,,P-3,P
Event86,Thu Jan 01 1970 01:01:27 GMT+0100 (Central European Standard Time),0,Pd,,,P-3,P
Event87,Thu Jan 01 1970 01:01:28 GMT+0100 (Central European Standard Time),0,Od,,O-3,,O
Event88,Thu Jan 01 1970 01:01:29 GMT+0100 (Central European Standard Time),0,Pd,,,P-3,P
